,team,bmk,uni,cch,stx,smk,aff,slp,nyp,frl,bng,trd,bwg,fut,pla,own,beh,Name,Capacity,Location,Surface,Roof type,Team(s),Opened,conference,lat,long
0,Green Bay Packers,0,94,81,100,100,94,84,52,100,81,100,6,77,97,100,69,Lambeau Field,81441,"Green Bay, Wisconsin",Desso GrassMaster,Open,Green Bay Packers,1957,NFC,44.501389,-88.062222
1,Pittsburgh Steelers,32,100,65,58,68,74,68,77,84,42,90,29,81,84,97,69,Heinz Field,68400,"Pittsburgh, Pennsylvania",Kentucky bluegrass,Open,Pittsburgh Steelers,2001,AFC,40.446667,-80.015833
2,Kansas City Chiefs,26,71,84,84,74,71,97,35,71,48,45,77,94,71,87,44,Arrowhead Stadium,76416,"Kansas City, Missouri",Bermuda grass,Open,Kansas City Chiefs,1972,AFC,39.048889,-94.483889
3,New England Patriots,68,68,100,68,32,26,23,90,90,84,81,0,87,94,65,77,Gillette Stadium,66829,"Foxborough, Massachusetts",FieldTurf CORE,Open,New England Patriots,2002,AFC,42.090944,-71.26344
4,Buffalo Bills,3,81,58,32,97,97,55,81,55,61,48,74,68,58,77,69,New Era Field,71608,"Orchard Park, New York",A-Turf Titan 50,Open,Buffalo Bills,1973,AFC,42.773611,-78.786944
5,Carolina Panthers,35,16,52,61,65,84,61,68,74,90,6,52,90,77,74,44,Bank of America Stadium,75523,"Charlotte, North Carolina",Bermuda grass,Open,Carolina Panthers,1996,NFC,35.225833,-80.852778
6,Seattle Seahawks,58,35,95,90,42,23,6,13,97,100,35,26,100,100,94,29,CenturyLink Field,69000,"Seattle, Washington",FieldTurf Revolution 360,Open,Seattle Seahawks,2002,NFC,47.595278,-122.331667
7,Indianapolis Colts,19,74,68,97,81,77,100,61,94,94,71,23,26,87,48,16,Lucas Oil Stadium,67000,"Indianapolis, Indiana",Shaw Sports Momentum Pro,Retractable,Indianapolis Colts,2008,AFC,39.760056,-86.163806
8,Arizona Cardinals,65,6,95,87,35,90,16,16,77,68,29,42,84,81,71,56,State Farm Stadium,63400,"Glendale, Arizona",Bermuda grass,Retractable,Arizona Cardinals,2006,NFC,33.5275,-112.2625
9,Baltimore Ravens,39,29,90,81,61,81,45,87,68,74,26,19,42,90,90,6,M&T Bank Stadium,71008,"Baltimore, Maryland",Bermuda grass,Open,Baltimore Ravens,1998,AFC,39.2781,-76.6227
10,Houston Texans,87,32,55,71,13,48,52,23,81,35,0,39,61,74,68,95,NRG Stadium,72220,"Houston, Texas",Hellas Matrix Turf,Retractable,Houston Texans,2002,AFC,29.6849,-95.4109
11,New Orleans Saints,6,45,87,74,94,87,58,29,87,45,16,16,23,65,61,84,Mercedes-Benz Superdome,73208,"New Orleans, Louisiana",FieldTurf Revolution 360,Fixed,New Orleans Saints,1975,NFC,29.950833,-90.081111
12,Philadelphia Eagles,81,77,71,52,19,29,35,94,52,26,55,55,45,55,39,95,Lincoln Financial Field,69596,"Philadelphia, Pennsylvania",Desso GrassMaster,Open,Philadelphia Eagles,2003,NFC,39.900833,-75.1675
13,Denver Broncos,42,23,45,65,58,45,39,19,61,97,68,10,97,68,81,0,Empower Field at Mile High,76125,"Denver, Colorado",Kentucky bluegrass,Open,Denver Broncos,2001,AFC,39.743889,-105.02
14,Detroit Lions,61,19,35,45,39,39,81,71,32,58,42,61,58,35,42,84,Ford Field,65000,"Detroit, Michigan",FieldTurf Classic HD,Fixed,Detroit Lions,2002,NFC,42.34,-83.045556
15,Minnesota Vikings,55,52,74,35,45,52,77,39,39,29,52,81,74,52,45,44,U.S. Bank Stadium,66655,"Minneapolis, Minnesota",UBU Speed Series S5-M Synthetic Turf,Fixed,Minnesota Vikings,2016,NFC,44.9735,-93.2575
16,New York Giants,100,65,77,42,0,13,29,100,48,23,97,58,39,48,84,10,MetLife Stadium,82500,"East Rutherford, New Jersey",UBU Sports Speed Series S5-M Synthetic Turf,Open,New York Giants,2010,NFC,40.813611,-74.074444
