RegionID,SizeRank,RegionName,RegionType,StateName,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21
102001,0,United States,Country,,475931,476994,477795,478590,479183,479716,480191,480903,481879,483053,484179,485554,486926,488622,490544,492631,493935,494976,496989,500882,506031,511786,517681,523690,529119,535210,541872,550094,560401,572793,585953,597594,607595
394913,1,"New York, NY",Msa,NY,765342,765813,766574,767589,768155,767854,767213,766168,765213,763940,762732,762805,763575,765440,767441,769905,771447,772406,774541,779303,787764,797831,809205,819407,827575,835106,841963,850064,859830,873175,887979,901359,911998
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,1166455,1163236,1161437,1160159,1161102,1161996,1160920,1163009,1168335,1175325,1176389,1176635,1178267,1186129,1195418,1202113,1197051,1191018,1193962,1211482,1231314,1249143,1261671,1272390,1280817,1292726,1305481,1324784,1352624,1389666,1429464,1459397,1480495
394463,3,"Chicago, IL",Msa,IL,439985,440522,440798,441243,440915,440366,439882,439409,439134,438662,438511,438394,438771,439415,440250,440326,439760,439335,440808,443398,448377,453162,458513,462440,465179,467960,470543,475004,480546,488052,496163,503319,508621
394514,4,"Dallas-Fort Worth, TX",Msa,TX,469052,468933,467817,466704,466303,465969,465590,466341,468169,469233,469513,468667,469024,468831,469536,469650,470216,471293,473500,477967,482890,488699,493006,497488,500400,506263,513950,525699,539433,555149,573222,590403,605256
394974,5,"Philadelphia, PA",Msa,PA,465837,466663,467829,468919,469452,469381,469742,470348,470926,471501,472494,473879,475065,475774,475754,477213,478767,480975,483087,486633,491569,497779,504071,510709,516439,521911,527904,534457,543314,552677,561457,568418,573937
394692,6,"Houston, TX",Msa,TX,401412,401653,401359,400690,400276,400584,400931,401187,401494,402210,403079,403621,403118,402874,403550,405173,406161,406607,407269,409176,412352,416021,419992,424115,427864,432343,436068,441213,447532,457137,468238,479556,488874
395209,7,"Washington, DC",Msa,DC,671258,673837,675499,676793,676486,676000,675752,677409,680050,683497,686840,689371,690231,691329,692629,695918,697079,699466,703550,710730,718267,725523,732471,739325,745424,752010,760058,771445,784495,797884,807707,814388,819292
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,687813,686830,686441,685927,685436,685612,685247,684795,683731,683961,684531,684976,686417,690190,693233,695145,695816,696410,697474,700816,706082,712383,718435,725836,733604,740731,750265,760700,776223,793412,813654,834856,857722
394347,9,"Atlanta, GA",Msa,GA,409808,410408,411161,412238,412793,412634,412827,413617,414776,415624,416265,417348,418199,419309,419833,421094,421806,423240,425150,428212,432134,436549,441449,446591,451263,456810,462874,470885,480264,492056,505076,518181,530378
