RegionID,SizeRank,RegionName,RegionType,StateName,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21
102001,0,United States,Country,,335022,336029,336807,337461,338013,338512,338966,339491,340199,341080,341996,343053,344202,345589,347173,348743,349743,350533,351956,354673,358268,362319,366510,370742,374732,379008,383676,389122,395961,404105,412801,420563,427346
394913,1,"New York, NY",Msa,NY,527218,527719,528671,529999,530944,530960,530473,529945,529522,529000,528533,528860,529608,531049,532943,534816,535951,536553,538118,541569,547496,554902,563192,570802,577079,583194,588963,595307,602910,612677,623462,633028,640589
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,782999,780580,779260,778631,779670,780535,780080,781262,785046,789729,791630,792926,795803,802181,809865,815448,813309,809903,811550,822201,834472,846393,855579,863682,870414,879467,889049,903001,922844,948266,973991,991505,1003330
394463,3,"Chicago, IL",Msa,IL,321539,322414,322977,323407,323240,322860,322685,322490,322491,322166,322112,322128,322555,323096,323719,323833,323550,323399,324576,326604,330234,333850,337579,340455,342489,345207,347890,351760,356104,361917,368336,374038,378348
394514,4,"Dallas-Fort Worth, TX",Msa,TX,329522,330146,330048,329517,329364,329151,328961,329471,330617,331457,331845,331721,332417,332976,334055,334546,335055,335845,337332,340440,343891,347956,351095,354394,356893,361042,366243,373814,382806,392979,404329,415364,425021
394974,5,"Philadelphia, PA",Msa,PA,368712,369598,370840,371789,372136,371898,372018,372578,373140,373699,374438,375646,376861,377907,378042,379180,380519,382689,384814,387769,391741,396681,401820,407209,411893,416344,421143,426372,433480,441120,448479,454380,459104
394692,6,"Houston, TX",Msa,TX,264586,265203,265375,265031,264855,265063,265389,265596,265735,266504,267406,268079,267712,267533,268034,269205,269887,270276,270715,271910,274046,276469,279166,281878,284472,287628,290000,293235,297196,303683,311053,318676,324860
395209,7,"Washington, DC",Msa,DC,513356,515737,517390,518826,518838,518684,518588,519979,521863,524520,527233,529572,530538,531657,532755,535479,536736,538861,542189,547810,554119,560352,566216,571912,577572,583570,590610,599451,609409,619502,626937,631966,635443
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,432674,432501,432775,433094,433102,433408,433336,433167,432931,433594,434514,434987,435914,438843,441570,443783,445177,446324,447481,449664,453223,457364,461269,465996,471099,475735,481789,487774,496958,506872,518723,530921,544278
394347,9,"Atlanta, GA",Msa,GA,282109,283048,284103,285295,286217,286432,286838,287546,288561,289262,289927,290928,291936,293280,294117,295192,295672,296654,298135,300565,303707,307163,310863,314795,318594,322980,327561,333184,339828,348166,357497,366782,375468
394404,10,"Boston, MA",Msa,MA,614668,615754,615322,614082,612905,613112,613275,614470,616501,618278,619791,621487,624353,626237,628817,630183,631293,630806,633149,639562,647951,657062,665532,674180,680588,688206,695287,704005,714475,728235,742248,753145,760591
395057,11,"San Francisco, CA",Msa,CA,1308472,1302935,1302006,1302118,1301336,1300433,1302021,1301050,1301970,1299285,1298473,1301380,1310900,1317993,1329315,1327940,1315597,1303588,1309615,1332179,1352022,1367803,1382093,1391364,1396453,1406062,1426286,1457579,1499129,1543521,1589704,1619120,1638323
394532,12,"Detroit, MI",Msa,MI,315730,317248,318363,318949,319656,320192,320388,320104,319805,319904,319861,319926,320810,322574,326308,328911,329237,326467,324787,326174,330225,334927,339168,343433,346236,349930,353288,357282,362396,368956,376052,381844,385476
