RegionID,SizeRank,RegionName,RegionType,StateName,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21
102001,0,United States,Country,,176904,177500,178058,178566,179024,179459,179794,180154,180562,181022,181478,181988,182754,183699,184681,185487,185870,186142,186642,187804,189375,191167,193033,194820,196535,198326,200260,202349,205001,208234,211625,214639,217575
394913,1,"New York, NY",Msa,NY,371553,372020,372926,373545,374475,374946,375188,374741,374142,373110,372085,371634,372326,373577,374609,375129,375154,374972,375051,375646,377476,379890,382842,385484,387789,389793,391082,391961,393888,397826,402362,406343,408796
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,424477,423267,422382,421925,422133,422599,421187,421066,422201,425017,426382,427799,429886,433829,437496,440151,438185,435976,436403,441224,446462,451312,454770,457628,459686,463023,465739,469846,476514,485940,495726,501475,505081
394463,3,"Chicago, IL",Msa,IL,162593,162665,162737,163213,163348,163371,163398,163410,163520,163468,163490,163416,163676,164215,164612,164782,164518,164412,164965,165809,167544,169017,170597,171636,171935,172372,172495,173231,173689,174678,176006,177270,178151
394514,4,"Dallas-Fort Worth, TX",Msa,TX,136249,137903,139064,138972,138647,138785,139612,140993,143716,143738,143415,140782,141410,141651,142829,142755,142965,143079,143199,144082,145421,147483,148506,149490,150674,152455,153805,155199,156602,158998,161349,164811,167581
394974,5,"Philadelphia, PA",Msa,PA,177072,177521,177887,178199,178541,178624,178726,178762,179026,179284,179562,180005,180658,181264,181461,181943,182486,183338,184564,186474,188907,191417,193561,195668,197600,199432,201429,203203,205652,208183,210109,211494,212187
394692,6,"Houston, TX",Msa,TX,117856,118790,119164,119276,119236,119448,119493,119909,120171,120917,121117,121393,121395,121776,122197,122535,122749,122763,122634,122635,124511,126697,129360,130544,131466,132371,132682,133687,135022,137900,140900,143662,145788
395209,7,"Washington, DC",Msa,DC,286271,287190,288395,289716,290718,291095,291018,291971,293352,294852,295856,296987,298321,299891,300671,301891,302466,304144,305581,307356,309102,310809,312857,314015,314867,314849,315533,316789,318718,320152,320586,320153,319617
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,145612,145531,145709,145927,146094,146409,146535,146631,146641,146975,147230,147256,147308,148051,148857,149725,150261,150592,150709,151109,151951,152959,153856,154852,155982,157028,158397,159610,161483,163763,166395,169370,172570
394347,9,"Atlanta, GA",Msa,GA,202533,202706,202439,203124,204081,203784,203612,203313,203829,203442,203499,204085,204432,205079,205518,206173,205439,205424,206119,207624,208559,209956,211168,213092,214319,216443,217996,219882,221925,224558,227599,231283,235434
