RegionID,SizeRank,RegionName,RegionType,StateName,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21
102001,0,United States,Country,,219854,220795,221605,222298,222950,223559,224132,224710,225359,226078,226811,227609,228571,229677,230922,232070,232893,233599,234674,236481,238822,241453,244276,247119,249917,252854,255989,259484,263731,268736,274075,278939,283503
394913,1,"New York, NY",Msa,NY,412635,413314,414371,415646,416768,417194,417331,417313,417316,417166,416990,417496,418454,420007,421699,423372,424363,425119,426412,429291,433904,439667,445959,451874,457027,462066,466864,471965,478029,485598,493799,501056,506918
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,634273,632173,630860,630517,631528,632580,631734,632462,635110,639311,641470,643456,646642,652835,659915,665194,663661,661106,662870,671689,681935,691737,699165,705414,710468,718015,725570,736507,751729,771464,791614,804560,813105
394463,3,"Chicago, IL",Msa,IL,223065,223837,224460,225017,225231,225270,225464,225547,225704,225633,225710,225879,226366,226948,227531,227769,227751,227840,228886,230517,233381,236258,238978,241068,242431,244798,247011,250109,252688,256229,260124,264074,267121
394514,4,"Dallas-Fort Worth, TX",Msa,TX,215591,216893,217761,217972,218189,218256,218434,219205,220405,221028,221369,221399,222496,223591,224929,225566,225928,226479,227416,229526,231790,234504,236566,238841,240988,244026,247532,252252,257717,263820,270187,276966,283129
394974,5,"Philadelphia, PA",Msa,PA,213623,214473,215273,215817,216360,216632,217081,217574,218092,218581,219145,220037,220951,221868,222421,223392,224226,225445,227041,229424,232197,235381,238478,241764,244707,247491,250207,252964,256642,260667,264521,267515,269905
394692,6,"Houston, TX",Msa,TX,184447,185326,185859,185966,186091,186575,187067,187613,187937,188685,189414,190105,190090,190344,191129,192363,193141,193538,193939,194839,196672,198713,200959,202987,205009,207399,208864,210788,213135,217583,222542,227797,232053
395209,7,"Washington, DC",Msa,DC,375756,377898,379535,380786,381053,381146,381106,382105,383480,385502,387611,389453,390624,391784,392920,394894,395800,397251,399503,403247,407543,411732,415924,419911,424066,428405,433531,439392,445874,452201,456819,459622,461381
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,325569,325842,326413,326826,327061,327582,327891,327946,327808,328370,329190,329635,330471,332836,335068,336871,337922,338802,339509,341050,343636,346694,349522,352927,356688,360047,364406,368471,374820,381627,389748,398002,407094
394347,9,"Atlanta, GA",Msa,GA,192651,193926,195237,196527,197588,198132,198701,199474,200479,201338,202182,203254,204539,206128,207356,208490,209121,210028,211335,213312,215841,218629,221553,224666,227831,231412,234952,239024,243742,249575,256049,262476,268722
394404,10,"Boston, MA",Msa,MA,459746,460802,460563,459751,459010,459383,459605,460438,461900,463477,464900,466492,469194,471273,473885,475374,476619,476632,478670,483840,490470,497871,504817,512069,517768,524310,529993,536518,544057,553975,564014,571741,576968
395057,11,"San Francisco, CA",Msa,CA,1072831,1068101,1066182,1065559,1064331,1062832,1061726,1058667,1058630,1056263,1056058,1058732,1067762,1075501,1088214,1089819,1080874,1070863,1073545,1090565,1103491,1115665,1125590,1133333,1137633,1145935,1160049,1182346,1213557,1247879,1280509,1299955,1312034
394532,12,"Detroit, MI",Msa,MI,171741,172864,173615,174173,174972,175644,176093,176074,176187,176371,176692,177089,178057,179313,181408,182999,183383,182349,181935,183249,185874,188877,191814,194715,196946,199448,201711,203988,206808,210475,214323,217593,219777
395025,13,"Riverside, CA",Msa,CA,352856,353985,355719,356752,357631,358101,358417,359040,359273,360766,361524,363598,364239,365845,367422,369793,371069,371988,374241,378771,384240,389636,395279,401445,407433,413743,420711,429482,440507,453048,467077,479613,490329
394976,14,"Phoenix, AZ",Msa,AZ,248057,249194,250459,251408,252320,253264,254505,256551,258293,260113,261579,263591,265546,267666,270608,274514,277119,278625,280405,284333,289122,293917,299481,305729,312959,318762,326846,333224,344377,354971,367147,376075,383754
395078,15,"Seattle, WA",Msa,WA,468451,468346,468280,466788,466199,465209,465285,466343,467758,469506,472871,478228,484759,490300,496023,500372,500699,500279,501770,509205,518092,528400,537491,544667,551930,559451,568378,578339,590197,606934,621868,634400,642486
394865,16,"Minneapolis-St Paul, MN",Msa,MN,271052,272461,272969,273389,273805,274502,274949,275196,275894,276896,278163,279699,281088,282650,283948,285301,286054,286584,287385,289502,292452,296265,299943,303329,306674,309458,312498,314658,318275,322638,328040,331765,334296
395056,17,"San Diego, CA",Msa,CA,557063,554751,554434,557339,559031,561074,563472,565520,566212,566843,568918,571392,574378,577549,582950,586720,589695,590272,593922,600459,610397,621553,634450,645742,655996,664440,674704,688298,708431,731133,753654,767823,777210
395121,18,"St. Louis, MO",Msa,MO,177633,178943,179903,180272,180488,180609,180760,180800,181061,181493,181932,182719,183439,184386,184784,185338,185481,186265,187587,189651,191945,194239,196542,198694,200733,202598,204849,207441,211047,214981,218575,220758,222012
395148,19,"Tampa, FL",Msa,FL,222772,223704,224219,224569,225202,225503,226180,226736,227269,227765,228665,229737,230999,232293,233893,235459,236669,237977,239407,241992,244648,247703,251097,254954,259281,263590,267969,272465,277638,285522,294867,304168,312024
394358,20,"Baltimore, MD",Msa,MD,254112,254693,255150,255396,255531,255611,255933,255980,255854,255510,255590,256210,257039,257533,258200,258570,259024,259637,261303,263739,266499,269492,272641,275977,278477,281355,284212,287542,290372,293732,297307,300369,302399
394530,21,"Denver, CO",Msa,CO,421291,422523,423605,424552,424129,424002,423632,423963,424420,425175,426113,427982,430945,433193,435150,436636,438055,438986,440434,443571,448012,453209,458922,464846,471086,477624,484917,493243,504436,517285,530555,540140,547177
394982,22,"Pittsburgh, PA",Msa,PA,156067,157027,157684,157965,158581,159293,159966,160247,160385,160863,161644,162591,163102,163479,164201,164971,164899,165054,166070,168327,170918,173492,175932,178018,180385,,183218,185058,189415,193742,197204,199049,200108
394998,23,"Portland, OR",Msa,OR,385286,386466,386619,386355,385920,385489,384784,384733,385206,386984,388898,390841,393175,394942,397436,398435,399590,400722,402381,405534,410220,416150,422771,428056,432780,437678,444330,452191,460783,470356,480154,488229,494050
394458,24,"Charlotte, NC",Msa,NC,205775,206677,207456,208192,209057,209870,210620,211594,212778,214506,216284,218077,219267,220801,221817,223138,224325,225975,227787,229969,232501,235393,237883,240753,244318,248239,252335,256508,261637,268274,275452,282623,289201
395045,25,"Sacramento, CA",Msa,CA,378093,378570,378854,380379,382279,383529,383652,383507,384327,385297,387657,390126,392744,395384,398473,401031,400870,399608,400905,404968,411387,418600,425680,432558,437778,444789,451309,459786,469216,481575,494443,506813,515528
395055,26,"San Antonio, TX",Msa,TX,184118,185603,186246,186982,187455,188078,188690,189310,190294,190942,191600,191538,191978,192097,192901,192948,193127,193145,194025,195300,197349,199652,201800,203555,205314,207657,210011,213209,217017,222306,227211,232325,236029
394943,27,"Orlando, FL",Msa,FL,230783,232452,233598,233916,234472,235045,235569,235763,236267,236744,237808,238661,240232,241565,243206,245018,246775,247818,248489,249449,250725,252598,254956,257241,259751,261612,264060,266733,270700,276430,283550,290659,297435
394466,28,"Cincinnati, OH",Msa,OH,167495,168893,170127,170729,170966,171258,171761,172350,173217,173791,174328,174790,175606,176365,177387,178438,179899,181349,182737,184436,186271,188737,191550,194174,196599,199190,201909,204589,206753,209333,212667,215963,219141
394475,29,"Cleveland, OH",Msa,OH,138553,139105,139776,140152,141038,141467,142163,142564,142948,143181,143312,143894,144836,145837,146630,147464,148111,148876,149872,151877,154126,156410,158237,159809,161464,163200,165437,167595,170658,174121,177515,179722,181307
394735,30,"Kansas City, MO",Msa,MO,178510,179583,180126,180588,180771,181089,181534,182009,182562,183140,183677,184280,185173,186463,187925,188941,189578,190210,191458,193538,195919,198496,200897,203451,205686,,212420,216476,219478,222452,225123,227735,230212
394775,31,"Las Vegas, NV",Msa,NV,277457,279328,279747,280904,281371,281322,279915,278460,277257,277420,278816,280262,281827,283036,285391,287934,288204,286500,285578,287724,291891,295298,298417,301718,305085,308362,312028,316365,324583,335256,346033,354967,362326
394492,32,"Columbus, OH",Msa,OH,187505,189031,190641,191831,193041,193955,194548,194900,195617,196628,197459,198572,200091,201811,203096,204256,205393,206556,207692,209374,211421,213766,216619,219727,222786,225414,228132,230917,234315,237912,241524,244312,247082
394705,33,"Indianapolis, IN",Msa,IN,165021,165728,166044,166034,166702,167196,167808,168290,169362,170421,171489,172143,173100,174260,175439,176441,177263,178252,179811,181660,183814,185780,188078,190631,193214,195991,198723,201187,203835,206792,210263,213278,216249
395059,34,"San Jose, CA",Msa,CA,1219627,1199346,1183923,1176775,1169042,1157333,1144754,1134719,1137642,1136978,1140323,1142254,1157666,1172874,1193155,1198575,1182432,1166998,1162651,1186951,1205991,1223131,1235722,1246657,1255125,1257299,1260091,1275041,1312064,1358964,1392510,1413148,1417560
394355,35,"Austin, TX",Msa,TX,289690,292053,293550,294348,294668,295069,295567,296226,297725,298253,298865,299490,301415,303000,304974,307245,309512,310906,312619,315550,320398,325522,331618,336934,342200,352252,366074,385706,404687,426452,444733,459208,466412
395194,36,"Virginia Beach, VA",Msa,VA,212763,213568,214499,215204,215509,215817,216205,216674,217351,218089,218620,218959,219707,220650,221880,222912,224130,225310,226351,227710,229338,231601,233891,236260,238346,240687,243183,246234,249180,252249,255259,258435,261453
394902,37,"Nashville, TN",Msa,TN,262529,263454,264421,264946,265587,266445,267248,267847,268258,269061,270177,271288,272608,274117,276008,277720,279573,281238,282629,283951,285839,288403,291039,294091,297080,300744,304306,308616,313929,321129,329006,337093,344758
395005,38,"Providence, RI",Msa,RI,311553,311562,312631,313996,315258,315717,316250,316463,316928,317454,319217,320461,321412,322643,324366,326186,327659,328516,330193,333467,338463,343728,348641,353938,359426,364366,369693,374952,381385,388245,395821,403334,408720
394862,39,"Milwaukee, WI",Msa,WI,193501,195098,196538,198057,198339,198259,198464,198911,199423,200142,200723,202043,203204,205080,206763,208326,209390,210057,211317,213356,215743,218327,221219,224469,227680,230828,234282,237509,240659,244585,248693,251506,252776
394714,40,"Jacksonville, FL",Msa,FL,201021,201901,202856,203867,204497,205406,205967,206658,207148,208106,208332,208773,209516,211373,213590,214915,215658,215797,216188,217543,219552,222130,224564,226934,230340,234152,238005,241437,245753,251332,257823,264190,270736
394849,41,"Memphis, TN",Msa,TN,128062,129211,130298,131077,131891,132351,132733,133183,133775,134544,135545,136837,137786,138794,139684,141014,141931,143283,144441,145858,147076,148907,150676,152575,154598,156449,158605,160799,163446,166338,168894,171272,173903
394935,42,"Oklahoma City, OK",Msa,OK,148061,148633,148806,149020,149199,149868,150693,151519,152240,153025,153812,154401,155204,155803,156758,157474,158239,158880,159545,160581,161749,163220,164618,165850,166960,168262,169626,171470,173688,176236,178804,181209,183643
394807,43,"Louisville-Jefferson County, KY",Msa,KY,172107,172835,173665,174583,175574,176272,176707,177180,177940,178826,179568,180512,181571,182621,183397,184313,185102,185985,187046,188652,190313,192070,193963,195921,197681,199588,201658,204036,206598,209477,212517,214792,217123
394669,44,"Hartford, CT",Msa,CT,239051,239375,239599,239943,239766,239870,239672,239726,239802,240209,240682,240988,241461,241395,242260,242806,243762,244452,246463,249121,252291,255377,258761,261713,264427,267627,271138,275209,280063,284823,289532,292825,295927
395022,45,"Richmond, VA",Msa,VA,207336,208366,209158,209797,210411,211233,212192,213218,214081,215000,215349,215961,216433,217674,218703,219660,220632,221673,222966,224208,225779,227560,229867,232733,235530,238296,240814,243615,246322,249080,251729,253955,256819
394910,46,"New Orleans, LA",Msa,LA,181685,181801,182415,182722,183364,183801,184335,184916,185521,186125,186491,187892,189167,190180,190356,191119,191997,192853,193497,194612,195928,197352,198808,200645,202885,205186,207020,208537,210044,212180,215004,218002,221102
394425,47,"Buffalo, NY",Msa,NY,159690,160564,162168,163016,164166,164770,165286,165533,165830,166192,166945,167743,168808,169455,170002,170598,170793,171083,171850,173885,176984,180107,183202,185809,188147,190363,192217,194599,,205621,211856,214662,215996
395012,48,"Raleigh, NC",Msa,NC,230303,231881,232992,233881,234305,235135,235953,236550,237225,238163,239411,240322,240912,241664,242931,244379,245407,246121,247053,248616,250747,253064,255842,259160,263142,267178,271143,275370,280667,288050,297366,307974,317269
