RegionID,SizeRank,RegionName,RegionType,StateName,1/31/19,2/28/19,3/31/19,4/30/19,5/31/19,6/30/19,7/31/19,8/31/19,9/30/19,10/31/19,11/30/19,12/31/19,1/31/20,2/29/20,3/31/20,4/30/20,5/31/20,6/30/20,7/31/20,8/31/20,9/30/20,10/31/20,11/30/20,12/31/20,1/31/21,2/28/21,3/31/21,4/30/21,5/31/21,6/30/21,7/31/21,8/31/21,9/30/21
102001,0,United States,Country,,178166,178966,179683,180282,180846,181389,181879,182351,182854,183410,183997,184630,185497,186478,187584,188525,189163,189643,190414,191815,193676,195757,197965,200173,202375,204683,207152,209828,213090,216973,221113,224849,228412
394913,1,"New York, NY",Msa,NY,325461,325927,326640,327494,328519,329084,329452,329377,329231,328889,328583,328796,329489,330652,331841,333009,333435,333695,334127,335775,338510,342024,345970,349789,353093,356401,359585,363139,367470,373258,379436,384856,388923
753899,2,"Los Angeles-Long Beach-Anaheim, CA",Msa,CA,534698,532861,531587,531322,532107,532849,531533,531667,533476,537039,538921,540714,543323,548344,553996,558007,556150,553557,554785,562052,570139,577340,582192,586229,589387,594656,599518,606913,617729,632325,647715,657306,663560
394463,3,"Chicago, IL",Msa,IL,179290,179950,180453,181037,181241,181326,181375,181366,181423,181398,181533,181698,182128,182557,183045,183267,183275,183358,184167,185378,187443,189377,191164,192539,193441,195247,196904,199249,200965,203449,206206,209176,211433
394514,4,"Dallas-Fort Worth, TX",Msa,TX,161763,164022,165973,166446,166756,166908,167321,168556,170533,170546,170080,168736,170618,172235,174271,174692,174931,175122,175569,177171,178947,181246,182596,184185,186346,189293,192095,194665,197436,200899,204526,209153,213525
394974,5,"Philadelphia, PA",Msa,PA,195580,196303,197112,197637,198108,198289,198672,199075,199521,199940,200431,201164,202077,202901,203270,203847,204417,205516,206830,208836,211213,213983,216579,219285,221789,224144,226586,229031,232462,236195,239601,242132,243961
394692,6,"Houston, TX",Msa,TX,138081,139305,140259,140721,141275,141919,142394,142839,143192,144037,144274,144493,144553,145435,146586,147556,148187,148623,148947,149804,151664,153753,155906,157503,159263,160584,161107,161908,163571,166824,170250,173712,176312
395209,7,"Washington, DC",Msa,DC,317769,319624,321305,322740,323450,323825,324045,325217,326627,328371,330032,331634,332927,334355,335418,337099,337675,339091,340831,343775,346940,350069,353211,355934,358693,360841,363596,366952,371240,375074,377355,378267,378785
394856,8,"Miami-Fort Lauderdale, FL",Msa,FL,212798,213059,213675,214060,214386,214769,215083,215237,215226,215732,216336,216746,217377,218807,220137,221224,221864,222313,222568,223432,224969,226857,228635,230647,232708,234559,236971,239432,243127,247448,252401,257642,263104
394347,9,"Atlanta, GA",Msa,GA,173842,174867,175954,176917,178016,178535,179102,179653,180442,181060,181630,182519,183614,185206,186397,187318,187412,187860,188843,190507,192536,194654,196893,199339,201820,204504,207152,210206,213759,218006,222435,226970,231342
394404,10,"Boston, MA",Msa,MA,389544,390383,390307,389646,389399,389999,390298,390890,391834,392899,393868,395122,397347,399141,401296,402509,403453,403099,404146,407591,412276,417362,421815,426514,430180,434782,438205,442301,446748,453555,460512,465972,469322
395057,11,"San Francisco, CA",Msa,CA,908762,906031,905818,905886,905687,905613,905637,903969,904114,902699,902890,905784,912845,919109,927844,928670,920777,912103,913051,925247,934212,940262,944096,946590,948155,953410,962713,976029,995934,1017672,1041097,1053081,1060570
394532,12,"Detroit, MI",Msa,MI,128738,129697,130315,130794,131432,132007,132375,132392,132462,132640,132847,133133,133818,134833,136500,137711,137975,137068,136579,137355,139210,141393,143410,145380,146790,148527,150082,151679,153607,156178,159038,161370,163006
395025,13,"Riverside, CA",Msa,CA,263619,264840,266423,267290,268101,268581,269303,270074,270597,271499,271935,273243,273864,275214,276579,278287,279028,279571,281377,284924,288967,292712,296303,300324,304254,308771,313801,320170,328363,337643,348427,358151,366788
394976,14,"Phoenix, AZ",Msa,AZ,216603,217889,219287,220289,221246,222066,223094,224739,226094,227559,228817,230488,232130,233851,236393,239678,241831,243132,244667,248220,252322,256378,260545,265393,271079,275783,282317,287937,297699,307061,317615,325182,331385
395078,15,"Seattle, WA",Msa,WA,415309,414955,414683,412846,411368,409405,408774,409215,410004,410750,413579,418018,424261,429548,435074,438419,437950,437106,438093,443928,450434,457779,463680,467475,471856,476604,481835,488278,495282,507251,516208,523638,527918
394865,16,"Minneapolis-St Paul, MN",Msa,MN,212478,213741,214329,214751,215249,216012,216532,216899,217644,218622,219801,221150,222388,223726,224795,225890,226477,226833,227320,228774,230882,233678,236427,238886,241357,243316,245559,247098,249947,253340,257496,260224,261992
395056,17,"San Diego, CA",Msa,CA,455410,453827,453794,456143,457046,457947,459531,461151,461439,461292,462123,463621,465721,468222,472510,475263,476847,476124,478347,482892,489946,496763,503843,509892,515305,520680,527190,536767,551173,567921,584625,595384,603027
395121,18,"St. Louis, MO",Msa,MO,113402,114365,114931,115074,115101,115179,115267,115261,115381,115716,116046,116671,117249,117965,118237,118547,118653,119213,120135,121565,123079,124624,126225,127784,129295,130508,131969,133589,135787,138250,140363,141725,142351
395148,19,"Tampa, FL",Msa,FL,158253,159018,159575,159996,160650,161154,161906,162529,163089,163535,164292,165107,166275,167531,169118,170572,171723,172884,174077,176110,178179,180479,183066,185833,189080,192231,195470,198707,202625,208375,214914,221374,226992
394358,20,"Baltimore, MD",Msa,MD,199489,200109,200489,200747,200778,200994,201353,201491,201227,200725,200579,200924,201567,201943,202467,202800,203126,203521,204601,206362,208498,210877,213041,215499,217197,219381,221406,223906,226160,229052,232059,234445,235880
394530,21,"Denver, CO",Msa,CO,343913,344979,345751,346251,345861,345675,345210,345206,345407,345882,346671,348208,350635,352339,353904,354949,356031,356729,357508,359501,362228,366132,370372,374805,379450,384082,389118,394555,402185,411274,420918,427767,432586
394982,22,"Pittsburgh, PA",Msa,PA,102731,103294,103736,104054,104657,105348,105860,106095,106193,106556,107121,107878,108334,108604,109154,109818,110061,110188,110846,112365,114292,116254,118050,119851,121768,,124092,125247,127863,130456,132704,134059,135037
394998,23,"Portland, OR",Msa,OR,343924,345608,346140,345801,344659,343579,342410,342036,342091,343733,345748,347201,348668,350271,352840,353919,354642,355573,357384,360172,364531,369638,375639,379742,383785,387753,393606,399401,405818,412842,419942,425514,428951
394458,24,"Charlotte, NC",Msa,NC,147491,148286,149038,149874,150828,151791,152649,153450,154454,155734,157332,158822,160176,161546,162583,163827,165094,166586,168037,169770,171574,173737,175528,177858,180672,183596,186511,189320,192873,197471,202297,207147,211639
395045,25,"Sacramento, CA",Msa,CA,324250,324999,325242,326426,328082,329245,329670,330016,330751,331458,332738,334581,336680,339023,341420,343260,342931,341776,343285,346967,352407,357885,363314,368810,373122,378685,384127,390679,398213,407807,419374,430098,437252
395055,26,"San Antonio, TX",Msa,TX,123856,125584,126766,127631,128248,129016,129729,130755,132070,132465,132411,131607,132147,132526,133613,132608,131619,130472,131315,132818,134757,136596,138231,139371,140792,142486,144298,146638,149238,152665,154825,157278,159217
394943,27,"Orlando, FL",Msa,FL,158553,160137,161363,161798,162354,162913,163478,163795,164346,164819,165743,166451,167856,169103,170698,172195,173507,174147,174532,175157,176140,177464,179097,180561,182164,183436,185110,186898,189448,193141,197679,202127,206408
394466,28,"Cincinnati, OH",Msa,OH,115466,116692,117834,118289,118475,118712,119269,119889,120711,121201,121727,122199,123073,123888,124867,125817,127045,128315,129333,130563,131939,133903,136188,138259,140122,142147,144201,146169,147628,149253,151589,153716,155762
394475,29,"Cleveland, OH",Msa,OH,103666,104220,104831,105225,105912,106233,106815,107224,107568,107684,107741,108186,109064,109962,110747,111505,112064,112712,113461,115078,116816,118667,120018,121136,122206,123418,125005,126572,128662,131062,133592,135352,136815
394735,30,"Kansas City, MO",Msa,MO,111997,112823,113315,113685,113794,114105,114434,114805,115072,115317,115633,116103,116846,117857,118859,119527,119764,120072,120760,122191,123902,125950,127957,130069,131711,,136455,139422,141437,143326,145084,146917,148757
394775,31,"Las Vegas, NV",Msa,NV,206586,208150,208587,209737,210359,210626,209811,208943,208112,208251,209254,210374,211463,212255,213851,215728,215970,214659,213910,215302,218267,220585,222816,225169,227628,230024,232693,235822,241537,249017,256653,263061,268381
394492,32,"Columbus, OH",Msa,OH,130606,131744,132934,133783,134545,135149,135502,135840,136456,137207,137906,138818,140104,141413,142480,143377,144042,144506,145020,145969,147180,148559,150500,152698,154776,156524,158271,160162,162369,164602,166848,168422,170087
394705,33,"Indianapolis, IN",Msa,IN,111609,112581,113283,113533,114159,114541,114929,115279,116212,117024,117873,118296,119264,120384,121468,122301,122821,123375,124398,125813,127500,128989,130470,132258,134097,136587,138943,140884,142321,143854,145783,147562,149399
395059,34,"San Jose, CA",Msa,CA,879763,866387,857640,853166,847011,838031,828371,821008,822479,821929,824585,825416,835401,844166,855497,856945,844128,832355,827812,841642,851505,859064,862924,865274,865755,862903,860909,866350,886167,912176,931194,941856,941852
394355,35,"Austin, TX",Msa,TX,308616,310918,312260,312954,313230,313569,313766,314393,315891,316473,317234,317439,319192,320336,322528,324857,327486,329063,330654,333535,337841,342382,347389,351840,356403,365162,377006,393063,408320,426182,441295,453142,458315
395194,36,"Virginia Beach, VA",Msa,VA,152786,153433,154205,154710,154974,155202,155512,155899,156406,156999,157429,157585,158117,158863,159897,160722,161622,162476,163197,164102,165342,166990,168791,170515,172179,173893,175738,177982,180076,182416,184628,186946,189051
394902,37,"Nashville, TN",Msa,TN,215730,216795,217928,218438,218973,219672,220133,220540,220977,221822,223039,224114,225977,228141,230703,232477,233894,235098,236382,237772,239465,241347,243385,245998,248673,251478,254258,257507,261720,267419,273212,278753,283512
395005,38,"Providence, RI",Msa,RI,250899,250961,251875,253027,254020,254228,254650,254878,255400,255829,257337,258406,259276,260284,261811,263459,264814,265388,266370,268732,272468,276650,280625,285145,289857,294053,298537,302801,308107,313556,319666,325592,330001
394862,39,"Milwaukee, WI",Msa,WI,145572,146947,148261,149574,149987,149964,150304,150663,151182,151879,152364,153414,154359,156056,157575,158852,159656,160188,161071,162462,163959,165745,167827,170297,172769,175254,177860,180008,182201,185045,188261,190492,191640
394714,40,"Jacksonville, FL",Msa,FL,146159,146954,147633,148385,148885,149662,150254,150827,151420,152274,152506,152771,153376,154765,156371,157323,157897,157904,157982,158762,160322,162365,164400,166148,168618,171370,174304,176896,179973,183874,188441,193060,197835
394849,41,"Memphis, TN",Msa,TN,61204,61889,62711,63398,64341,64892,65382,65632,65981,66228,66616,67219,67747,68347,68890,69729,70219,70923,71463,72142,72605,73539,74824,76295,77690,78837,80300,81661,83135,84538,85863,86711,87840
394935,42,"Oklahoma City, OK",Msa,OK,81274,81784,82036,82125,82226,82900,83839,84884,85681,86392,87026,87311,88090,88638,89621,89897,90461,90959,91718,92648,93698,95155,96333,97232,98105,99386,100962,102383,103929,105431,107002,108335,109651
394807,43,"Louisville-Jefferson County, KY",Msa,KY,133200,133854,134458,135122,135897,136596,137079,137469,137975,138548,139135,139882,140713,141496,142132,142936,143567,144261,145133,146582,148110,149737,151305,152745,153927,155296,156879,158647,160571,162621,164675,166144,167636
394669,44,"Hartford, CT",Msa,CT,168432,168873,168992,168902,168480,168606,168664,168815,169006,169334,169848,170073,170526,170544,171279,171738,172384,172701,174060,175874,178771,181467,184507,186572,188616,191153,193754,196727,199905,203276,206366,208649,210638
