GeoFips,GeoName,LineCode,Description,2019
998,United States (Metropolitan Portion),2,Population (persons) 1/,282828601
998,United States (Metropolitan Portion),3,Per capita personal income (dollars) 2/,58650
10180,"Abilene, TX (Metropolitan Statistical Area)",2,Population (persons) 1/,172060
10180,"Abilene, TX (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,45552
10420,"Akron, OH (Metropolitan Statistical Area)",2,Population (persons) 1/,703479
10420,"Akron, OH (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,51095
10500,"Albany, GA (Metropolitan Statistical Area)",2,Population (persons) 1/,146726
10500,"Albany, GA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,39922
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",2,Population (persons) 1/,129749
10540,"Albany-Lebanon, OR (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,44830
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",2,Population (persons) 1/,880381
10580,"Albany-Schenectady-Troy, NY (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,60767
10740,"Albuquerque, NM (Metropolitan Statistical Area) *",2,Population (persons) 1/,918018
10740,"Albuquerque, NM (Metropolitan Statistical Area) *",3,Per capita personal income (dollars) 2/,43986
10780,"Alexandria, LA (Metropolitan Statistical Area)",2,Population (persons) 1/,152037
10780,"Alexandria, LA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,44446
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",2,Population (persons) 1/,844052
10900,"Allentown-Bethlehem-Easton, PA-NJ (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,55675
11020,"Altoona, PA (Metropolitan Statistical Area)",2,Population (persons) 1/,121829
11020,"Altoona, PA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,48277
11100,"Amarillo, TX (Metropolitan Statistical Area)",2,Population (persons) 1/,265053
11100,"Amarillo, TX (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,48065
11180,"Ames, IA (Metropolitan Statistical Area)",2,Population (persons) 1/,123351
11180,"Ames, IA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,44952
11260,"Anchorage, AK (Metropolitan Statistical Area)",2,Population (persons) 1/,396317
11260,"Anchorage, AK (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,64350
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",2,Population (persons) 1/,367601
11460,"Ann Arbor, MI (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,60843
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",2,Population (persons) 1/,113605
11500,"Anniston-Oxford, AL (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,38394
11540,"Appleton, WI (Metropolitan Statistical Area)",2,Population (persons) 1/,237974
11540,"Appleton, WI (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,52686
11700,"Asheville, NC (Metropolitan Statistical Area)",2,Population (persons) 1/,462680
11700,"Asheville, NC (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,47432
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",2,Population (persons) 1/,213750
12020,"Athens-Clarke County, GA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,41495
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",2,Population (persons) 1/,6020364
12060,"Atlanta-Sandy Springs-Alpharetta, GA (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,54557
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",2,Population (persons) 1/,263670
12100,"Atlantic City-Hammonton, NJ (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,50631
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",2,Population (persons) 1/,164542
12220,"Auburn-Opelika, AL (Metropolitan Statistical Area)",3,Per capita personal income (dollars) 2/,39781
12260,"Augusta-Richmond County, GA-SC (Metropolitan Statistical Area)",2,Population (persons) 1/,608980
