MSA,UnemployentRate
"Ames, IA Metropolitan Statistical Area",1.8
"Burlington-South Burlington, VT Metropolitan NECTA",1.8
"Iowa City, IA Metropolitan Statistical Area",2.1
"Logan, UT-ID Metropolitan Statistical Area",2.1
"Midland, TX Metropolitan Statistical Area",2.1
"Fargo, ND-MN Metropolitan Statistical Area",2.2
"Portland-South Portland, ME Metropolitan NECTA",2.2
"Boulder, CO Metropolitan Statistical Area",2.3
"Charleston-North Charleston, SC Metropolitan Statistical Area",2.3
"Fort Collins, CO Metropolitan Statistical Area",2.3
"Idaho Falls, ID Metropolitan Statistical Area",2.3
"Portsmouth, NH-ME Metropolitan NECTA",2.3
"Provo-Orem, UT Metropolitan Statistical Area",2.3
"Urban Honolulu, HI Metropolitan Statistical Area",2.3
"Charlottesville, VA Metropolitan Statistical Area",2.4
"Columbia, MO Metropolitan Statistical Area",2.4
"Columbus, IN Metropolitan Statistical Area",2.4
"Dover-Durham, NH-ME Metropolitan NECTA",2.4
"Kahului-Wailuku-Lahaina, HI Metropolitan Statistical Area",2.4
"Amarillo, TX Metropolitan Statistical Area",2.5
"Bismarck, ND Metropolitan Statistical Area",2.5
"Greeley, CO Metropolitan Statistical Area",2.5
"Greenville-Anderson-Mauldin, SC Metropolitan Statistical Area",2.5
"Madison, WI Metropolitan Statistical Area",2.5
"Manchester, NH Metropolitan NECTA",2.5
"Salt Lake City, UT Metropolitan Statistical Area",2.5
"Spartanburg, SC Metropolitan Statistical Area",2.5
"Staunton-Waynesboro, VA Metropolitan Statistical Area",2.5
"Boise City, ID Metropolitan Statistical Area",2.6
"Columbia, SC Metropolitan Statistical Area",2.6
"Denver-Aurora-Lakewood, CO Metropolitan Statistical Area",2.6
"Fayetteville-Springdale-Rogers, AR-MO Metropolitan Statistical Area",2.6
"Grand Forks, ND-MN Metropolitan Statistical Area",2.6
"Harrisonburg, VA Metropolitan Statistical Area",2.6
"Hilton Head Island-Bluffton-Beaufort, SC Metropolitan Statistical Area",2.6
"Huntsville, AL Metropolitan Statistical Area",2.6
"Mankato-North Mankato, MN Metropolitan Statistical Area",2.6
"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area",2.6
"Ogden-Clearfield, UT Metropolitan Statistical Area",2.6
"San Jose-Sunnyvale-Santa Clara, CA Metropolitan Statistical Area",2.6
"Sioux Falls, SD Metropolitan Statistical Area",2.6
"Twin Falls, ID Metropolitan Statistical Area",2.6
"Winchester, VA-WV Metropolitan Statistical Area",2.6
"Austin-Round Rock, TX Metropolitan Statistical Area",2.7
"Bangor, ME Metropolitan NECTA",2.7
"Birmingham-Hoover, AL Metropolitan Statistical Area",2.7
"Boston-Cambridge-Nashua, MA-NH Metropolitan NECTA",2.7
"Decatur, AL Metropolitan Statistical Area",2.7
"Des Moines-West Des Moines, IA Metropolitan Statistical Area",2.7
"Dubuque, IA Metropolitan Statistical Area",2.7
"Jefferson City, MO Metropolitan Statistical Area",2.7
"Lewiston-Auburn, ME Metropolitan NECTA",2.7
"Lincoln, NE Metropolitan Statistical Area",2.7
"Odessa, TX Metropolitan Statistical Area",2.7
"Pocatello, ID Metropolitan Statistical Area",2.7
"Roanoke, VA Metropolitan Statistical Area",2.7
"Rochester, MN Metropolitan Statistical Area",2.7
"San Francisco-Oakland-Hayward, CA Metropolitan Statistical Area",2.7
"Santa Rosa, CA Metropolitan Statistical Area",2.7
"Sheboygan, WI Metropolitan Statistical Area",2.7
"Ann Arbor, MI Metropolitan Statistical Area",2.8
"Auburn-Opelika, AL Metropolitan Statistical Area",2.8
"College Station-Bryan, TX Metropolitan Statistical Area",2.8
"Daphne-Fairhope-Foley, AL Metropolitan Statistical Area",2.8
"Enid, OK Metropolitan Statistical Area",2.8
"Manhattan, KS Metropolitan Statistical Area",2.8
"Richmond, VA Metropolitan Statistical Area",2.8
"Sioux City, IA-NE-SD Metropolitan Statistical Area",2.8
"Tuscaloosa, AL Metropolitan Statistical Area",2.8
"Wausau, WI Metropolitan Statistical Area",2.8
"Appleton, WI Metropolitan Statistical Area",2.9
"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",2.9
"Crestview-Fort Walton Beach-Destin, FL Metropolitan Statistical Area",2.9
"Fond du Lac, WI Metropolitan Statistical Area",2.9
"Gainesville, GA Metropolitan Statistical Area",2.9
"Grand Rapids-Wyoming, MI Metropolitan Statistical Area",2.9
"Indianapolis-Carmel-Anderson, IN Metropolitan Statistical Area",2.9
"Jonesboro, AR Metropolitan Statistical Area",2.9
"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area",2.9
"Lafayette-West Lafayette, IN Metropolitan Statistical Area",2.9
"Lawrence, KS Metropolitan Statistical Area",2.9
"Lubbock, TX Metropolitan Statistical Area",2.9
"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area",2.9
"Napa, CA Metropolitan Statistical Area",2.9
"Oklahoma City, OK Metropolitan Statistical Area",2.9
"St. George, UT Metropolitan Statistical Area",2.9
"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metropolitan Statistical Area",2.9
"Springfield, MO Metropolitan Statistical Area",2.9
"Abilene, TX Metropolitan Statistical Area",3
"Cedar Rapids, IA Metropolitan Statistical Area",3
"Corvallis, OR Metropolitan Statistical Area",3
"Elkhart-Goshen, IN Metropolitan Statistical Area",3
"Evansville, IN-KY Metropolitan Statistical Area",3
"Florence, SC Metropolitan Statistical Area",3
"Fort Wayne, IN Metropolitan Statistical Area",3
"Miami-Fort Lauderdale-West Palm Beach, FL Metropolitan Statistical Area",3
"Montgomery, AL Metropolitan Statistical Area",3
"Omaha-Council Bluffs, NE-IA Metropolitan Statistical Area",3
"Oshkosh-Neenah, WI Metropolitan Statistical Area",3
"St. Joseph, MO-KS Metropolitan Statistical Area",3
"San Angelo, TX Metropolitan Statistical Area",3
"Trenton, NJ Metropolitan Statistical Area",3
"Virginia Beach-Norfolk-Newport News, VA-NC Metropolitan Statistical Area",3
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area",3
"Asheville, NC Metropolitan Statistical Area",3.1
"Danbury, CT Metropolitan NECTA",3.1
"Dothan, AL Metropolitan Statistical Area",3.1
"Gainesville, FL Metropolitan Statistical Area",3.1
"Green Bay, WI Metropolitan Statistical Area",3.1
"Joplin, MO Metropolitan Statistical Area",3.1
"Lewiston, ID-WA Metropolitan Statistical Area",3.1
"Lynchburg, VA Metropolitan Statistical Area",3.1
"San Antonio-New Braunfels, TX Metropolitan Statistical Area",3.1
"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area",3.1
"Sherman-Denison, TX Metropolitan Statistical Area",3.1
"Tulsa, OK Metropolitan Statistical Area",3.1
"Waterloo-Cedar Falls, IA Metropolitan Statistical Area",3.1
"Cape Girardeau, MO-IL Metropolitan Statistical Area",3.2
"Colorado Springs, CO Metropolitan Statistical Area",3.2
"Knoxville, TN Metropolitan Statistical Area",3.2
"Little Rock-North Little Rock-Conway, AR Metropolitan Statistical Area",3.2
"Orlando-Kissimmee-Sanford, FL Metropolitan Statistical Area",3.2
"Rapid City, SD Metropolitan Statistical Area",3.2
"Reno, NV Metropolitan Statistical Area",3.2
"St. Louis, MO-IL Metropolitan Statistical Area(1)",3.2
"Sumter, SC Metropolitan Statistical Area",3.2
"Wichita Falls, TX Metropolitan Statistical Area",3.2
"Billings, MT Metropolitan Statistical Area",3.3
"Bloomington, IN Metropolitan Statistical Area",3.3
"California-Lexington Park, MD Metropolitan Statistical Area",3.3
"Cape Coral-Fort Myers, FL Metropolitan Statistical Area",3.3
"Chattanooga, TN-GA Metropolitan Statistical Area",3.3
"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area",3.3
