opportunity_id,Entity_ID,Est_Revenue,Annual_Revenue,days_active,PFY_RSM_Services_Spend,CFY_RSM_Services_Spend,No_of_Employees,Probability,Lead_Source,Private_Equity,Open_Revenue,Type,industry_sector,revenue_size,Microsoft_Enterprise_Agreement,Won
7e8506e1-2c9b-e711-8118-005056ad09ed,7787025,1440,26855586,5.659108796,71687.88,1012.89,102,20%,Referral - Other,Yes,0,Existing Relationship - Renewal,Retail & Restaurants,low,No,1
b0cfd616-2d9b-e711-8118-005056ad09ed,7787042,102960,301576944,8.656319444,0,0,1300,20%,Inactive - Junction Solutions,Yes,0,Existing Relationship - Renewal,Retail & Restaurants,med,No,1
8549a452-2d9b-e711-8118-005056ad09ed,7787042,1276,301576944,118.6174074,0,0,1300,20%,Inactive - Junction Solutions,Yes,0,Existing Relationship - Renewal,Retail & Restaurants,low,No,0
a8a8986a-2d9b-e711-8118-005056ad09ed,7786973,3900,50031237,30.51783565,0,0,200,20%,Inactive - Junction Solutions,Yes,0,Existing Relationship - Renewal,Retail & Restaurants,low,No,1
fbaf8b76-2d9b-e711-8118-005056ad09ed,7787028,2690,23609400,52.6712963,385,0,238,20%,Inactive - Junction Solutions,No,0,Existing Relationship - Renewal,Retail & Restaurants,low,No,1
7bb08b76-2d9b-e711-8118-005056ad09ed,7786984,40418,66697954,259.6314236,0,0,120,20%,Inactive - Junction Solutions,No,0,Existing Relationship - Renewal,Retail & Restaurants,med,No,1
0167867c-2d9b-e711-8118-005056ad09ed,7787047,35750,5572667,396.7227662,6963.75,1000,1,20%,Inactive - Junction Solutions,Yes,0,Existing Relationship - Renewal,Retail & Restaurants,med,_missing_,0
87b97e82-2d9b-e711-8118-005056ad09ed,7787025,20000,26855586,235.6303472,71687.88,1012.89,102,20%,Referral - Other,Yes,0,Existing Relationship - Renewal,Retail & Restaurants,low,No,0
27ba7e82-2d9b-e711-8118-005056ad09ed,7787056,10000,133100000,95.4315162,62110.64,51052.78,350,20%,Inside Sales,No,3400000,Existing Relationship - Renewal,Retail & Restaurants,low,No,0
a8f840ee-2d9b-e711-8118-005056ad09ed,7787042,6412,301576944,23.56045139,0,0,1300,20%,Inactive - Junction Solutions,Yes,0,Existing Relationship - Renewal,Retail & Restaurants,low,No,1
fa911730-2e9b-e711-8118-005056ad09ed,7787025,50000,26855586,528.6623264,71687.88,1012.89,102,20%,Referral - Other,Yes,0,Existing Relationship - Renewal,Retail & Restaurants,med,No,0
730d1736-2e9b-e711-8118-005056ad09ed,7787009,2022880,125810963,105.3875347,7000,810507.62,300,20%,Referral - Other,No,50000,Existing Relationship - Renewal,Retail & Restaurants,high,_missing_,1
fe57f665-2e9b-e711-8118-005056ad09ed,7786982,500000,105495599,172.7155324,0,0,500,20%,Inactive - Junction Solutions,No,0,Existing Relationship - Renewal,Retail & Restaurants,high,No,0
5b6982e6-0d7c-e911-a9a9-005056b5913b,7786985,145080,102870836,2.931840278,62636.52,29210.07,350,80%,Manager,No,0,Existing Relationship - New Business,Retail & Restaurants,med,No,1
9db2a4bb-2f9b-e711-8118-005056ad09ed,7787025,9606,26855586,120.3477431,71687.88,1012.89,102,20%,Referral - Other,Yes,0,Existing Relationship - Renewal,Retail & Restaurants,low,No,0
