Make,Min.Price,Price,Max.Price,MPG.city,MPG.highway,Cylinders,EngineSize,Horsepower,RPM,Rev.per.mile,Fuel.tank.capacity,Passengers,Length,Wheelbase,Width,Turn.circle,Rear.seat.room,Luggage.room,Weight
Acura Integra,12.9,15.9,18.8,25,31,4,1.8,140,6300,2890,13.2,5,177,102,68,37,26.5,11,2705
Acura Legend,29.2,33.9,38.7,18,25,6,3.2,200,5500,2335,18,5,195,115,71,38,30,15,3560
Audi 90,25.9,29.1,32.3,20,26,6,2.8,172,5500,2280,16.9,5,180,102,67,37,28,14,3375
Audi 100,30.8,37.7,44.6,19,26,6,2.8,172,5500,2535,21.1,6,193,106,70,37,31,17,3405
BMW 535i,23.7,30,36.2,22,30,4,3.5,208,5700,2545,21.1,4,186,109,69,39,27,13,3640
Buick Century,14.2,15.7,17.3,22,31,4,2.2,110,5200,2565,16.4,6,189,105,69,41,28,16,2880
Buick LeSabre,19.9,20.8,21.7,19,28,6,3.8,170,4800,1570,18,6,200,111,74,42,30.5,17,3470
Buick Roadmaster,22.6,23.7,24.9,16,25,6,5.7,180,4000,1320,23,6,216,116,78,45,30.5,21,4105
Buick Riviera,26.3,26.3,26.3,19,27,6,3.8,170,4800,1690,18.8,5,198,108,73,41,26.5,14,3495
Cadillac DeVille,33,34.7,36.3,16,25,8,4.9,200,4100,1510,18,6,206,114,73,43,35,18,3620
Cadillac Seville,37.5,40.1,42.7,16,25,8,4.6,295,6000,1985,20,5,204,111,74,44,31,14,3935
Chevrolet Cavalier,8.5,13.4,18.3,25,36,4,2.2,110,5200,2380,15.2,5,182,101,66,38,25,13,2490
Chevrolet Corsica,11.4,11.4,11.4,25,34,4,2.2,110,5200,2665,15.6,5,184,103,68,39,26,14,2785
Chevrolet Camaro,13.4,15.1,16.8,19,28,6,3.4,160,4600,1805,15.5,4,193,101,74,43,25,13,3240
Chevrolet Lumina,13.4,15.9,18.4,21,29,4,2.2,110,5200,2595,16.5,6,198,108,71,40,28.5,16,3195
Chevrolet Lumina_APV,14.7,16.3,18,18,23,6,3.8,170,4800,1690,20,7,178,110,74,44,30.5,NA,3715
Chevrolet Astro,14.7,16.6,18.6,15,20,6,4.3,165,4000,1790,27,8,194,111,78,42,33.5,NA,4025
Chevrolet Caprice,18,18.8,19.6,17,26,8,5,170,4200,1350,23,6,214,116,77,42,29.5,20,3910
Chevrolet Corvette,34.6,38,41.5,17,25,8,5.7,300,5000,1450,20,2,179,96,74,43,NA,NA,3380
Chrylser Concorde,18.4,18.4,18.4,20,28,6,3.3,153,5300,1990,18,6,203,113,74,40,31,15,3515
Chrysler LeBaron,14.5,15.8,17.1,23,28,4,3,141,5000,2090,16,6,183,104,68,41,30.5,14,3085
