price,sqfeet,age,bedrooms,bathroom,garage,area,lotsize
110000,1000,28,3,1,1,1,6596
133500,1400,23,3,1,1,1,8066
112500,1248,58,3,4,1,1,6775
141750,1106,12,2,1,1,1,10841
195250,2112,78,2,6,2,1,19269
132250,1078,33,2,1,1,1,8035
136000,952,13,2,3,2,1,9092
162750,1100,1,2,1,2,1,13323
148500,1040,17,3,1,2,1,11737
123500,1416,27,4,2,1,1,6939
142250,1150,25,3,2,2,1,10017
145500,1220,17,3,2,2,1,11035
155250,1464,28,3,2,2,1,11792
150750,1228,15,3,2,2,1,11599
150900,1132,1,3,4,2,1,12317
144000,1132,1,3,4,2,1,10374
151900,1132,1,3,4,2,1,11068
161500,1464,29,3,3,2,1,12947
155750,1270,1,4,3,2,1,11517
157250,1362,23,3,4,2,1,12483
152900,1120,1,3,3,2,1,11634
145250,1025,1,3,5,2,1,10733
164750,1290,19,3,3,2,1,13000
152500,1260,22,3,4,2,1,12458
150750,1085,1,3,4,2,1,12072
144750,1312,41,3,4,2,1,10324
148250,1489,34,3,4,1,1,10698
174500,1540,24,3,4,2,1,14566
215500,2112,12,4,4,2,1,23684
155750,1351,1,4,5,2,1,11947
167900,1351,1,4,4,2,1,14171
148500,1193,5,3,4,2,1,10364
152500,1200,1,4,4,2,1,11812
167200,1256,1,3,4,2,1,13802
159500,1058,1,3,4,2,1,12196
153600,1210,13,3,4,2,1,11523
168000,1380,1,3,4,2,1,14711
166100,1301,7,3,4,2,1,14658
165200,1375,8,3,4,2,1,14270
174900,1437,8,3,4,2,1,16725
160250,1330,1,3,4,2,1,12589
165100,1361,1,3,4,2,1,14399
170500,1594,16,3,3,2,1,14655
155900,1186,2,3,4,2,1,12558
167700,1336,1,3,4,2,1,14430
165400,1325,5,3,4,2,1,13582
163500,1352,9,3,4,2,1,13143
178500,1354,7,3,2,2,1,16101
164000,1318,1,3,4,2,1,13209
172750,1415,9,3,4,2,1,13367
149000,1337,2,3,4,2,1,11290
176000,2028,25,4,4,2,1,15357
205500,1820,21,3,4,2,1,21978
181100,1330,2,3,4,2,1,17331
166600,1356,1,3,4,2,1,14587
168750,1350,2,3,3,2,1,13033
188700,1523,1,4,4,2,1,17803
190600,1477,1,3,5,2,1,18163
160900,1185,4,3,4,2,1,13031
164900,1430,22,3,4,3,1,14064
154700,1311,1,3,4,2,1,11959
184750,1411,4,3,4,2,1,17540
174000,1412,1,3,4,2,1,15149
136250,1300,6,3,4,2,1,9209
169000,1334,4,3,4,2,1,13770
151900,1360,19,3,4,2,1,11852
180350,1900,43,3,2,2,1,16467
171300,1328,1,3,4,2,1,14718
172650,1350,1,3,4,2,1,15561
174750,1601,1,3,5,2,1,15214
166900,1405,1,3,4,2,1,13553
171750,1619,9,3,4,2,1,15635
170900,1450,2,3,4,2,1,14125
168400,1818,1,4,4,2,1,13702
193100,1424,1,3,4,3,1,18643
206900,2240,16,4,6,2,1,22406
193000,1872,2,4,4,2,1,19103
188500,1550,1,4,4,3,1,17766
168300,1342,1,3,4,2,1,14397
157100,1318,1,3,4,2,1,12797
177650,1843,1,3,4,2,1,15281
207100,1526,1,3,4,3,1,23445
191900,1526,1,3,4,3,1,18411
164250,1407,1,3,4,2,1,13124
146100,1515,1,3,4,2,1,11225
136750,1425,1,3,4,2,1,8714
226600,2150,20,4,4,2,1,26880
182250,1430,2,3,4,2,1,16607
158900,1975,19,4,6,2,1,12861
173000,1433,8,3,4,2,1,14697
217600,2400,34,5,4,3,1,23738
201000,2160,32,4,4,2,1,21531
149650,1600,10,3,5,2,1,11379
206150,1526,1,3,4,3,1,22502
162500,1480,20,3,4,2,1,13798
138250,129,1,4,5,3,1,9789
172900,1493,1,3,4,3,1,14949
188400,1728,4,3,5,2,1,17746
182750,1828,1,3,4,2,1,16909
175500,1689,1,4,4,2,1,15427
157500,1572,1,4,4,2,1,12232
211900,1534,1,3,4,3,1,23289
207300,1775,10,4,6,2,1,21831
126750,608,4,3,5,2,1,8354
181200,1938,22,4,5,2,1,17722
181500,1564,5,4,4,2,1,17465
152750,1700,22,3,4,2,1,11473
183200,1393,2,3,4,2,1,16919
161400,1500,9,3,3,2,1,12568
160300,1510,5,3,3,2,1,13174
163900,1689,1,4,4,2,1,13758
179900,1407,1,3,4,2,1,15704
188900,1938,25,4,4,2,1,18199
201750,1337,1,3,4,3,1,20630
200500,1590,8,3,4,3,1,23127
176300,1488,1,3,4,2,1,15647
195300,1526,1,3,4,3,1,19071
194350,1594,1,3,4,3,1,18885
199100,1609,1,4,4,3,1,19819
207400,1212,1,3,4,3,1,21595
185300,1812,1,4,6,3,1,17167
157500,1773,9,4,6,3,1,11826
214300,1838,20,4,4,3,1,24996
233900,2672,20,3,5,2,1,28832
145100,1008,2,4,4,2,1,10860
181750,1700,5,4,5,2,1,16837
196900,2080,22,5,4,2,1,19641
125800,1235,3,4,6,2,1,7651
197900,1800,22,4,6,2,1,19581
200400,1661,1,3,4,3,1,20361
173300,1680,9,3,5,2,1,15055
193100,1700,1,3,4,2,1,18643
166100,1707,3,4,4,2,1,13262
182750,1595,1,4,6,3,1,16697
164500,1420,1,4,5,3,1,13795
196500,1618,5,3,5,2,1,19305
227200,1632,5,3,4,3,1,26135
191200,1558,1,3,4,3,1,18278
219400,1770,7,3,3,2,1,28060
199750,2072,29,4,5,2,1,20476
203900,2012,24,4,4,2,1,21038
199500,1899,1,4,4,3,1,20006
