"age","job","marital","education","default","balance","housing","loan","poutcome","y"
"50s","management","married","tertiary","no","Medium","yes","no","unknown","no"
"40s","technician","single","secondary","no","Low","yes","no","unknown","no"
"30s","entrepreneur","married","secondary","no","Low","yes","yes","unknown","no"
"40s","blue-collar","married","unknown","no","Medium","yes","no","unknown","no"
"30s","unknown","single","unknown","no","Low","no","no","unknown","no"
"30s","management","married","tertiary","no","Low","yes","no","unknown","no"
"20s","management","single","tertiary","no","Low","yes","yes","unknown","no"
"40s","entrepreneur","divorced","tertiary","yes","Low","yes","no","unknown","no"
"50s","retired","married","primary","no","Low","yes","no","unknown","no"
"40s","technician","single","secondary","no","Low","yes","no","unknown","no"
"40s","admin.","divorced","secondary","no","Low","yes","no","unknown","no"
"20s","admin.","single","secondary","no","Low","yes","no","unknown","no"
"50s","technician","married","secondary","no","Low","yes","no","unknown","no"
"50s","technician","married","unknown","no","Low","yes","no","unknown","no"
"50s","services","married","secondary","no","Low","yes","no","unknown","no"
"50s","retired","married","primary","no","Low","yes","no","unknown","no"
"40s","admin.","single","unknown","no","Low","yes","no","unknown","no"
"50s","blue-collar","married","primary","no","Low","yes","no","unknown","no"
"50s","retired","married","primary","no","Low","yes","no","unknown","no"
"30s","services","married","secondary","no","Negative","yes","no","unknown","no"
"20s","blue-collar","married","secondary","no","Low","yes","yes","unknown","no"
"50s","management","married","tertiary","no","Low","yes","no","unknown","no"
"30s","blue-collar","single","primary","no","Low","yes","yes","unknown","no"
"20s","services","married","secondary","no","Low","yes","no","unknown","no"
"30s","retired","married","primary","no","Negative","yes","yes","unknown","no"
"40s","admin.","married","secondary","no","Negative","yes","no","unknown","no"
"30s","management","single","tertiary","no","Low","yes","no","unknown","no"
"50s","entrepreneur","married","secondary","no","Low","yes","yes","unknown","no"
"40s","management","single","secondary","no","Negative","yes","no","unknown","no"
"30s","technician","single","secondary","no","Low","yes","yes","unknown","no"
"50s","technician","married","secondary","no","Low","no","yes","unknown","no"
"40s","management","married","tertiary","no","Low","yes","no","unknown","no"
"50s","admin.","married","secondary","no","Low","yes","yes","unknown","no"
"50s","blue-collar","married","secondary","no","Negative","yes","no","unknown","no"
"50s","management","married","tertiary","no","Extra","yes","no","unknown","no"
"50s","technician","divorced","secondary","no","Low","yes","no","unknown","no"
"20s","blue-collar","married","secondary","no","Negative","yes","no","unknown","no"
"50s","technician","married","secondary","no","Negative","no","no","unknown","no"
"30s","admin.","divorced","secondary","no","Low","yes","no","unknown","no"
"30s","admin.","single","secondary","no","Negative","yes","no","unknown","no"
"40s","services","divorced","secondary","no","Medium","yes","no","unknown","no"
"40s","management","married","secondary","no","Low","yes","no","unknown","no"
"50s","blue-collar","married","unknown","no","Low","yes","no","unknown","no"
"50s","retired","married","secondary","no","Low","yes","no","unknown","no"
"50s","retired","married","unknown","no","Low","yes","no","unknown","no"
"30s","admin.","single","primary","no","Negative","yes","no","unknown","no"
"50s","self-employed","married","tertiary","no","Negative","yes","no","unknown","no"
"40s","technician","married","secondary","no","Negative","yes","no","unknown","no"
"50s","technician","divorced","secondary","no","Negative","no","no","unknown","no"
"20s","management","single","tertiary","no","Negative","yes","no","unknown","no"
"50s","blue-collar","married","secondary","no","Medium","yes","no","unknown","no"
"40s","management","divorced","tertiary","no","Negative","yes","no","unknown","no"
"30s","management","married","tertiary","no","Negative","yes","no","unknown","no"
"40s","admin.","single","secondary","no","Negative","yes","no","unknown","no"
"20s","technician","single","secondary","no","Negative","yes","yes","unknown","no"
"30s","entrepreneur","single","tertiary","no","Low","no","yes","unknown","no"
"30s","management","single","tertiary","no","Low","yes","no","unknown","no"
"40s","blue-collar","married","unknown","no","Low","yes","no","unknown","no"
"30s","blue-collar","single","unknown","no","Low","yes","no","unknown","no"
"40s","services","married","primary","no","Low","yes","no","unknown","no"
"30s","admin.","married","tertiary","no","Negative","yes","no","unknown","no"
"50s","technician","divorced","secondary","no","Low","yes","no","unknown","no"
"50s","blue-collar","married","primary","no","Low","yes","no","unknown","no"
"30s","services","married","secondary","no","Low","yes","no","unknown","no"
"40s","blue-collar","married","unknown","no","Low","yes","no","unknown","no"
"50s","management","married","tertiary","no","High","yes","no","unknown","no"
"50s","retired","married","tertiary","no","Low","no","no","unknown","no"
"50s","management","divorced","tertiary","no","Low","yes","no","unknown","no"
"50s","technician","married","secondary","no","Medium","yes","no","unknown","no"
"30s","blue-collar","single","secondary","no","Extra","yes","yes","unknown","no"
"50s","blue-collar","married","secondary","no","High","yes","yes","unknown","no"
"30s","services","married","secondary","no","Low","yes","yes","unknown","no"
"50s","management","married","secondary","no","Low","yes","yes","unknown","no"
"50s","blue-collar","married","primary","no","Low","yes","no","unknown","no"
"40s","technician","married","secondary","no","Medium","yes","no","unknown","no"
"50s","technician","married","secondary","no","Low","yes","no","unknown","no"
"40s","blue-collar","married","secondary","no","Low","no","yes","unknown","no"
"50s","services","divorced","secondary","no","Low","no","no","unknown","no"
"40s","services","divorced","secondary","no","Negative","yes","yes","unknown","no"
"50s","services","divorced","secondary","yes","Low","yes","no","unknown","no"
"40s","admin.","single","secondary","no","Low","yes","no","unknown","no"
"40s","services","divorced","secondary","no","Low","no","no","unknown","no"
"40s","technician","single","secondary","no","Low","yes","no","unknown","no"
"50s","admin.","married","secondary","no","Medium","yes","no","unknown","yes"
"40s","self-employed","married","tertiary","no","Low","yes","yes","unknown","no"
"50s","blue-collar","married","primary","no","Low","yes","no","unknown","no"
"50s","admin.","married","secondary","no","Low","no","no","unknown","yes"
"40s","technician","married","secondary","no","Medium","yes","no","unknown","yes"
"40s","management","divorced","secondary","no","Low","yes","yes","unknown","no"
"50s","retired","married","secondary","no","Low","yes","no","unknown","no"
"40s","management","single","secondary","no","Low","no","no","unknown","no"
"20s","technician","married","secondary","no","Low","yes","yes","unknown","no"
"50s","admin.","married","secondary","no","Low","yes","no","unknown","no"
"50s","blue-collar","married","unknown","no","Low","yes","no","unknown","no"
"50s","entrepreneur","divorced","secondary","no","Negative","no","no","unknown","no"
"30s","management","married","tertiary","no","Low","yes","yes","unknown","no"
"50s","blue-collar","married","secondary","no","Low","no","no","unknown","no"
"50s","retired","married","tertiary","no","Low","yes","no","unknown","no"
"30s","technician","married","secondary","no","Negative","yes","no","unknown","no"
"40s","management","married","tertiary","no","Low","yes","no","unknown","no"
"40s","blue-collar","married","secondary","no","Negative","yes","no","unknown","no"
"50s","blue-collar","married","primary","no","Low","no","no","unknown","no"
"50s","blue-collar","married","primary","no","Low","yes","no","unknown","no"
"50s","blue-collar","married","primary","no","Low","yes","no","unknown","no"
